structure,data_size,operation,mean_time,std_time,mean_memory,std_memory,mean_iterations,std_iterations,avg_cpu_percent,avg_memory_usage_mb,avg_peak_memory_mb,hash_table_size,hash_function,avg_load_factor,avg_collision_rate,avg_chain_length,max_chain_length,balanced,avg_height
HashTable,5000,insert,0.03603297520894557,0.0008175116862829491,0.0,0.0,130092.0,0.0,0.1,0.0,0.0418701171875,100,division,50.0,0.9800000000000001,50.0,70.0,,
HashTable,5000,search,1.0116925206966696e-05,8.204844452291718e-07,0.0,0.0,26.933600000000002,0.26083987425238475,0.08,0.0,1.220703125e-07,100,division,0,0,0,0,,
HashTable,5000,insert,0.034482750203460456,0.0071827637290822225,0.0,0.0,129699.0,0.0,0.08,0.0,0.042510986328125,100,multiplication,50.0,0.9800000000000001,50.0,72.0,,
HashTable,5000,search,7.274791586678476e-06,2.3285586881091907e-06,0.0,0.0,27.1298,0.16437445056942396,0.08,0.0,1.220703125e-07,100,multiplication,0,0,0,0,,
HashTable,5000,insert,0.04972362498519942,0.0077026431171876505,0.0,0.0,130052.0,0.0,0.04,0.0,0.04309272766113281,100,folding,50.0,0.9800000000000001,50.0,73.0,,
HashTable,5000,search,1.0777308198157696e-05,1.93728487437294e-06,0.0,0.0,26.9774,0.24063299856835912,0.06000000000000001,0.0,7.038116455078125e-07,100,folding,0,0,0,0,,
HashTable,5000,insert,0.022389966808259488,0.00723447671821266,0.0,0.0,17481.0,0.0,0.08,0.0,0.051605224609375,1000,division,5.0,0.8009999999999999,5.025125628140704,13.0,,
HashTable,5000,search,4.378258413635195e-06,2.0015385032843894e-06,0.0,0.0,4.505599999999999,0.05630843631286517,0.08,0.0,1.52587890625e-07,1000,division,0,0,0,0,,
HashTable,5000,insert,0.023338958201929928,0.004623139573507771,0.0,0.0,17724.0,0.0,0.1,0.0,0.05157470703125,1000,multiplication,5.0,0.8009999999999999,5.025125628140704,14.0,,
HashTable,5000,search,6.518783397041261e-06,5.382096656777506e-07,0.0,0.0,4.515,0.06720714247756689,0.1,0.0,1.52587890625e-07,1000,multiplication,0,0,0,0,,
HashTable,5000,insert,0.04970755799440667,0.009400924384999326,0.0,0.0,17613.0,0.0,0.06000000000000001,0.0,0.05221748352050781,1000,folding,5.0,0.8017999999999998,5.045408678102926,14.0,,
HashTable,5000,search,1.1143641616217792e-05,2.41480429030085e-06,0.0,0.0,4.473599999999999,0.038108266819680804,0.08,0.0,7.038116455078125e-07,1000,folding,0,0,0,0,,
HashTable,5000,insert,0.023489491606596857,0.006871515066563277,0.003125,0.00625,7400.0,0.0,0.08,0.003125,0.0983428955078125,5000,division,1.0,0.3604,1.5634771732332708,5.0,,
HashTable,5000,search,5.3735915920697156e-06,1.077091230019838e-06,0.0,0.0,2.4702,0.01733666634621551,0.1,0.0,1.52587890625e-07,5000,division,0,0,0,0,,
HashTable,5000,insert,0.02577674980275333,0.006361351710178739,0.0,0.0,7534.0,0.0,0.08,0.0,0.0966033935546875,5000,multiplication,1.0,0.3718,1.591849729385546,6.0,,
HashTable,5000,search,5.527008615899831e-06,1.911791963552983e-06,0.0,0.0,2.4996,0.02492067414818473,0.08,0.0,1.52587890625e-07,5000,multiplication,0,0,0,0,,
HashTable,5000,insert,0.04264296679757536,0.003236759993453483,-0.165625,0.33125000000000004,12138.0,0.0,0.06000000000000001,-0.165625,0.06570625305175781,5000,folding,1.0,0.6348,2.738225629791895,11.0,,
