structure,data_size,operation,mean_time,std_time,mean_memory,std_memory,mean_iterations,std_iterations,avg_cpu_percent,avg_memory_usage_mb,avg_peak_memory_mb,hash_table_size,hash_function,avg_load_factor,avg_collision_rate,avg_chain_length,max_chain_length,balanced,avg_height
LinearArray,10000,insert,0.008812283375300467,0.0019274792441651197,0.00625,0.012500000000000002,10000.0,0.0,0.1,0.00625,0.08128814697265625,,,,,,,,
LinearArray,10000,search,0.0011431088334065865,1.2228362320022257e-05,0.0,0.0,4974.141,31.728977739599625,0.02,0.0,2.1362304687500003e-07,,,,,,,,
BST,10000,insert,0.06117374980822206,0.009023049465072115,0.865625,0.694186236718937,159813.8,5531.556648900922,0.02,0.865625,0.8399444580078125,,,,,,,False,31.4
BST,10000,search,5.7012082077562805e-06,3.4763412073899306e-07,0.0,0.0,17.026000000000003,0.3851768425022461,0.08,0.0,1.0681152343750002e-07,,,,,,,False,0
AVL,10000,insert,0.16481446700636299,0.0016395538624552446,0.03125,0.029646353064078555,138160.0,270.1636541061732,0.04,0.03125,0.9162063598632812,,,,,,,True,16.0
AVL,10000,search,4.607808182481676e-06,1.5545401546059443e-07,0.0,0.0,12.607800000000001,0.04989348654884714,0.1,0.0,1.0681152343750002e-07,,,,,,,True,0
HashTable,10000,insert,0.06863282498670742,0.0016090162479105276,0.0,0.0,510671.0,0.0,0.0,0.0,0.0828704833984375,100,division,100.0,0.99,100.0,125.0,,
HashTable,10000,search,7.065341807901859e-06,2.2816404935262344e-07,0.0,0.0,51.5354,0.721962769123172,0.1,0.0,1.220703125e-07,100,division,0,0,0,0,,
HashTable,10000,insert,0.07233829980250447,0.0012323160338253514,0.0,0.0,510340.0,0.0,0.02,0.0,0.083587646484375,100,multiplication,100.0,0.99,100.0,130.0,,
HashTable,10000,search,7.886833581142128e-06,9.081342768260691e-07,0.0,0.0,51.974199999999996,0.7063110929328521,0.1,0.0,1.220703125e-07,100,multiplication,0,0,0,0,,
HashTable,10000,insert,0.11382231679745018,0.005655686611399323,0.0,0.0,510663.0,0.0,0.04,0.0,0.08358955383300781,100,folding,100.0,0.99,100.0,137.0,,
HashTable,10000,search,1.3541774987243116e-05,1.3904485745302906e-06,0.0,0.0,52.95739999999999,1.1339724158902622,0.04,0.0,7.038116455078125e-07,100,folding,0,0,0,0,,
HashTable,10000,insert,0.04143182499101385,0.013292181978026386,0.00625,0.012500000000000002,59831.0,0.0,0.04,0.00625,0.103546142578125,1000,division,10.0,0.9,10.0,25.0,,
HashTable,10000,search,4.549775191117078e-06,2.0009162057746743e-06,0.0,0.0,7.034400000000001,0.06912770790356061,0.06000000000000001,0.0,1.52587890625e-07,1000,division,0,0,0,0,,
HashTable,10000,insert,0.05530758359236643,0.0020737028774124,0.0125,0.006250000000000001,59984.0,0.0,0.04,0.0125,0.1026458740234375,1000,multiplication,10.0,0.9,10.0,20.0,,
HashTable,10000,search,6.00534959230572e-06,6.072466617967561e-07,0.0,0.0,7.043000000000001,0.06375892094444523,0.1,0.0,1.52587890625e-07,1000,multiplication,0,0,0,0,,
HashTable,10000,insert,0.10625075022689998,0.007965124919523073,0.09375,0.04739297152532219,60284.0,0.0,0.0,0.09375,0.10260200500488281,1000,folding,10.0,0.9,10.0,26.0,,
HashTable,10000,search,1.344900019466877e-05,1.760154691376279e-07,0.0,0.0,7.08,0.10353163767660578,0.1,0.0,7.038116455078125e-07,1000,folding,0,0,0,0,,
HashTable,10000,insert,0.046859583188779655,0.0010277958727285062,0.084375,0.06889189901577689,19936.0,0.0,0.1,0.084375,0.140472412109375,5000,division,2.0,0.567,2.3094688221709005,10.0,,
HashTable,10000,search,5.257083592005075e-06,9.001953579797781e-07,0.0,0.0,2.9656,0.02463006293130408,0.1,0.0,1.52587890625e-07,5000,division,0,0,0,0,,
HashTable,10000,insert,0.051319908397272226,0.0013837239362587733,0.121875,0.06202947887899752,19985.0,0.0,0.04,0.121875,0.140289306640625,5000,multiplication,2.0,0.568,2.314814814814815,8.0,,
HashTable,10000,search,5.415491794701666e-06,1.0042547995835294e-06,0.0,0.0,3.0021999999999998,0.04222037422856406,0.1,0.0,1.52587890625e-07,5000,multiplication,0,0,0,0,,
HashTable,10000,insert,0.10865485839312897,0.0008647846199669957,0.075,0.04122158111960287,38666.0,0.0,0.06000000000000001,0.075,0.11322212219238281,5000,folding,2.0,0.7838,4.6253469010175765,19.0,,
HashTable,10000,search,1.311231660656631e-05,3.6589267506622984e-07,0.0,0.0,4.8732,0.11907207901099238,0.1,0.0,7.038116455078125e-07,5000,folding,0,0,0,0,,
LinearArray,50000,insert,0.037851408205460756,0.006848153445228394,0.078125,0.15625,50000.0,0.0,0.04,0.078125,0.4238433837890625,,,,,,,,
LinearArray,50000,search,0.006040170208609197,0.00015708853891346477,0.0,0.0,25292.5546,513.0379846368487,0.06000000000000001,0.0,2.1362304687500003e-07,,,,,,,,
BST,50000,insert,0.2159912668168545,0.014484992703111599,4.61875,2.3418450591894415,955773.4,29491.856269824726,0.04,4.61875,4.196331787109375,,,,,,,False,37.4
BST,50000,search,7.501841813791544e-06,3.095033751252892e-07,0.0,0.0,20.118000000000002,0.5618558534001398,0.1,0.0,1.0681152343750002e-07,,,,,,,False,0
AVL,50000,insert,0.8964791749953293,0.13096542933903826,2.303125,1.5813426356264475,808636.8,1751.2497708779292,0.02,2.303125,4.577828979492187,,,,,,,True,19.0
AVL,50000,search,5.697058211080729e-06,1.032263964309093e-06,0.0,0.0,14.9298,0.05685912415786966,0.1,0.0,1.0681152343750002e-07,,,,,,,True,0
HashTable,50000,insert,1.870611841615755,0.2455123416062242,0.434375,0.13272975363497064,12553721.0,0.0,0.02,0.434375,0.407562255859375,100,division,500.0,0.998,500.0,547.0,,
HashTable,50000,search,4.1987733414862306e-05,5.471837633872621e-06,0.0,0.0,253.638,2.46236991534578,0.04,0.0,2.1362304687500003e-07,100,division,0,0,0,0,,
HashTable,50000,insert,1.537116041209083,0.017367739072217774,0.103125,0.16195823149812422,12546042.0,0.0,0.06000000000000001,0.103125,0.403717041015625,100,multiplication,500.0,0.998,500.0,558.0,,
HashTable,50000,search,4.104038359364495e-05,1.6165856867638438e-06,0.0,0.0,251.73139999999998,3.1483067576079606,0.0,0.0,2.1362304687500003e-07,100,multiplication,0,0,0,0,,
HashTable,50000,insert,1.8155745752039365,0.1179782128233132,0.16875,0.1615960434230987,12556712.0,0.0,0.04,0.16875,0.4071063995361328,100,folding,500.0,0.998,500.0,560.0,,
HashTable,50000,search,4.8730124812573196e-05,2.660789134001968e-06,0.0,0.0,252.175,3.704099836667477,0.0,0.0,7.343292236328125e-07,100,folding,0,0,0,0,,
HashTable,50000,insert,0.1682411165907979,0.011428902232329155,0.0,0.0,1300643.0,0.0,0.0,0.0,0.423309326171875,1000,division,50.0,0.9800000000000001,50.0,73.0,,
HashTable,50000,search,5.585858400445431e-06,7.716457650314226e-07,0.0,0.0,27.019599999999997,0.1435974930143289,0.1,0.0,1.52587890625e-07,1000,division,0,0,0,0,,
HashTable,50000,insert,0.19048697501420975,0.002212281241066715,0.0,0.0,1298234.0,0.0,0.0,0.0,0.42352294921875,1000,multiplication,50.0,0.9800000000000001,50.0,75.0,,
HashTable,50000,search,6.717675400432198e-06,4.965003561401514e-07,0.0,0.0,26.843799999999998,0.4715567410185118,0.1,0.0,1.52587890625e-07,1000,multiplication,0,0,0,0,,
HashTable,50000,insert,0.41846618318231776,0.0017272791967024026,0.0,0.0,1298661.0,0.0,0.0,0.0,0.4235553741455078,1000,folding,50.0,0.9800000000000001,50.0,74.0,,
HashTable,50000,search,1.3937149802222848e-05,2.855816692649219e-06,0.0,0.0,26.5528,0.17991931524991917,0.1,0.0,7.038116455078125e-07,1000,folding,0,0,0,0,,
HashTable,50000,insert,0.145297057996504,0.010303202198449199,0.0,0.0,300367.0,0.0,0.02,0.0,0.512481689453125,5000,division,10.0,0.9,10.0,23.0,,
HashTable,50000,search,4.374408395960927e-06,1.6252410702113111e-07,0.0,0.0,7.067,0.13983275724950853,0.1,0.0,1.52587890625e-07,5000,division,0,0,0,0,,
HashTable,50000,insert,0.16019578339764848,0.0035224273937006236,0.325,0.27339731847624255,299788.0,0.0,0.02,0.325,0.51300048828125,5000,multiplication,10.0,0.9000199999999999,10.002000400080016,22.0,,
HashTable,50000,search,4.878591792657971e-06,1.6972614408098724e-07,0.0,0.0,6.9958,0.13765231563617072,0.1,0.0,1.52587890625e-07,5000,multiplication,0,0,0,0,,
HashTable,50000,insert,0.4061831748113036,0.003334821845143433,0.48125,0.03336586953759785,759237.0,0.0,0.02,0.48125,0.4476642608642578,5000,folding,10.0,0.9488199999999999,19.538882375928097,60.0,,
HashTable,50000,search,1.4636824803892525e-05,9.317474510566686e-07,0.0,0.0,16.4098,0.18881461807815594,0.1,0.0,7.038116455078125e-07,5000,folding,0,0,0,0,,
LinearArray,100000,insert,0.0628008836065419,0.007808514744307302,0.0625,0.125,100000.0,0.0,0.0,0.0625,0.7639312744140625,,,,,,,,
LinearArray,100000,search,0.012140594849991613,0.0002132139060922292,-0.005621875,0.01124375,50478.319800000005,678.5342647652787,0.04,-0.005621875,2.1362304687500003e-07,,,,,,,,
