tipo_bst,volume,rodada,tempo_insercao,tempo_busca,memoria_pico,cpu_percent,iteracoes_insercao,iteracoes_busca,altura_arvore
sem_balanceamento,10000,1,0.06858396530151367,0.005941152572631836,1842528,98.8,157321,15692,28
com_balanceamento,10000,1,0.1625959873199463,0.004849910736083984,1840616,98.8,131265,12552,16
sem_balanceamento,10000,2,0.07387495040893555,0.006415128707885742,1826272,98.8,166536,16674,33
com_balanceamento,10000,2,0.17371702194213867,0.005047798156738281,1826072,96.5,131121,12607,16
sem_balanceamento,10000,3,0.07484006881713867,0.006228446960449219,1826280,98.9,163765,16454,33
com_balanceamento,10000,3,0.16429615020751953,0.0045659542083740234,1826184,98.1,131019,12541,16
sem_balanceamento,10000,4,0.08238625526428223,0.011356115341186523,1826240,93.0,168879,16771,31
com_balanceamento,10000,4,0.1681370735168457,0.00538325309753418,1826032,97.2,131070,12555,16
sem_balanceamento,10000,5,0.07039999961853027,0.0062160491943359375,1826216,98.9,172976,17113,35
com_balanceamento,10000,5,0.1466207504272461,0.004724979400634766,1826016,99.2,130963,12518,16
sem_balanceamento,50000,1,0.44185972213745117,0.007357120513916016,9186696,99.1,990347,19697,40
com_balanceamento,50000,1,1.0455398559570312,0.0059430599212646484,9186080,99.2,771128,14849,19
sem_balanceamento,50000,2,0.439816951751709,0.007927656173706055,9186208,98.9,970548,19516,38
com_balanceamento,50000,2,0.9641470909118652,0.0061419010162353516,9186112,96.6,771932,14855,19
sem_balanceamento,50000,3,0.4694950580596924,0.009675741195678711,9186216,98.7,1003263,19987,41
com_balanceamento,50000,3,1.026482105255127,0.006422996520996094,9186104,97.5,773359,14909,19
sem_balanceamento,50000,4,0.48891425132751465,0.007874727249145508,9186664,97.7,1024384,20584,43
com_balanceamento,50000,4,1.2926299571990967,0.009134769439697266,9186056,88.9,772862,14963,19
sem_balanceamento,50000,5,0.5012011528015137,0.00821685791015625,9186192,93.1,970939,19594,38
com_balanceamento,50000,5,1.1962969303131104,0.006761074066162109,9186104,88.1,772400,14958,19
sem_balanceamento,100000,1,1.0945379734039307,0.009137868881225586,18386216,98.2,2175087,21504,44
com_balanceamento,100000,1,2.450195074081421,0.006502866744995117,18386056,97.7,1647824,15998,20
sem_balanceamento,100000,2,1.0398478507995605,0.008750200271606445,18386216,99.3,2159604,21775,41
com_balanceamento,100000,2,2.246885061264038,0.007420063018798828,18386056,98.9,1648271,15972,20
sem_balanceamento,100000,3,1.0371761322021484,0.009654045104980469,18386216,98.9,2074883,20820,41
com_balanceamento,100000,3,2.3981540203094482,0.008048295974731445,18386056,97.6,1647352,15968,20
sem_balanceamento,100000,4,1.1191179752349854,0.008460044860839844,18386216,98.8,2056174,20603,38
com_balanceamento,100000,4,2.453178882598877,0.006913900375366211,18386056,97.2,1644648,15977,20
sem_balanceamento,100000,5,1.1103909015655518,0.00828695297241211,18386216,94.2,2000907,20145,40
com_balanceamento,100000,5,2.3132731914520264,0.006760835647583008,18386056,97.6,1648791,15963,20
