tempo_execucao,memoria_atual_kb,memoria_pico_kb,tempo_cpu_user,tempo_cpu_system,n_registros,tabela_tamanho,hash_funcao
7.724761962890625e-05,0.0,0.40625,9.1280896,0.397392928,10000,1000,1
2.7894973754882812e-05,0.0,0.171875,9.335268352,0.401255584,10000,1000,2
2.288818359375e-05,0.0,0.140625,9.4387968,0.403461664,10000,1000,3
0.00014901161193847656,0.0,0.40625,9.488898048,0.40446,10000,5000,1
6.604194641113281e-05,0.0,0.171875,9.663973376,0.409193792,10000,5000,2
4.1961669921875e-05,0.0,0.140625,9.806338048,0.414186592,10000,5000,3
0.00014901161193847656,0.0,0.40625,9.86518528,0.41640672,10000,10000,1
2.3126602172851562e-05,0.0,0.171875,10.038788096,0.420173344,10000,10000,2
1.2874603271484375e-05,0.0,0.140625,10.13481472,0.422244256,10000,10000,3
0.0007250308990478516,0.0,0.40625,10.384922624,0.429450336,50000,1000,1
7.486343383789062e-05,0.0,0.171875,11.245995008,0.451978528,50000,1000,2
2.002716064453125e-05,0.0,0.140625,11.721265152,0.4609808,50000,1000,3
0.00043392181396484375,0.0,0.40625,11.979177984,0.467815776,50000,5000,1
2.5033950805664062e-05,0.0,0.171875,12.83142656,0.481958784,50000,5000,2
1.8835067749023438e-05,0.0,0.140625,13.327246336,0.487727968,50000,5000,3
0.0003268718719482422,0.0,0.40625,13.566026752,0.489784384,50000,10000,1
2.5033950805664062e-05,0.0,0.171875,14.370767872,0.494116928,50000,10000,2
3.0994415283203125e-05,0.0,0.140625,14.85511168,0.497290624,50000,10000,3
0.00043392181396484375,0.0,0.40625,15.306800128,0.504576576,100000,1000,1
3.910064697265625e-05,0.0,0.171875,16.926444544,0.523772512,100000,1000,2
8.392333984375e-05,0.0,0.140625,17.84542208,0.534169888,100000,1000,3
0.0007951259613037109,0.0,0.40625,18.329706496,0.54270432,100000,5000,1
4.315376281738281e-05,0.0,0.171875,19.94788864,0.558541696,100000,5000,2
0.00010275840759277344,0.0,0.140625,20.966924288,0.581761344,100000,5000,3
0.000102996826171875,0.0,0.40625,21.501476864,0.603145984,100000,10000,1
3.1948089599609375e-05,0.0,0.171875,23.285592064,0.642635648,100000,10000,2
4.410743713378906e-05,0.0,0.140625,24.256032768,0.653042496,100000,10000,3
