tempo_execucao,memoria_atual_kb,memoria_pico_kb,tempo_cpu_user,tempo_cpu_system,n_registros
1.2159347534179688e-05,0.0,0.0703125,1.795157376,0.143246464,10000
1.2636184692382812e-05,0.0,0.0703125,2.329381376,0.160153456,50000
1.4066696166992188e-05,0.0,0.0703125,3.393817344,0.21106008,100000
